Sample_ID,Bacteria_Species,Antibiotic,Resistance_Gene_Present,Minimum_Inhibitory_Concentration (MIC),Resistance_Level,Environment,Mutation_Frequency,Treatment_Success
SAMPLE_76,K. pneumoniae,Vancomycin,0,25.51,High,Community,0.843,0
SAMPLE_77,K. pneumoniae,Erythromycin,1,58.5,High,Community,0.414,0
SAMPLE_78,E. coli,Amoxicillin,0,37.63,High,Community,0.865,1
SAMPLE_79,E. coli,Ciprofloxacin,1,3.66,Moderate,Agricultural,0.74,0
SAMPLE_80,P. aeruginosa,Erythromycin,1,29.14,High,Community,0.176,1
SAMPLE_81,S. aureus,Tetracycline,0,20.82,Low,Agricultural,0.805,0
SAMPLE_82,P. aeruginosa,Vancomycin,0,53.29,Moderate,Community,0.735,1
SAMPLE_83,P. aeruginosa,Vancomycin,0,21.38,Low,Hospital,0.366,0
SAMPLE_84,S. aureus,Vancomycin,0,40.3,High,Hospital,0.538,1
SAMPLE_85,K. pneumoniae,Ciprofloxacin,0,13.9,High,Agricultural,0.827,0
SAMPLE_86,E. coli,Amoxicillin,1,34.37,High,Agricultural,0.2,0
SAMPLE_87,E. coli,Amoxicillin,1,41.9,Moderate,Agricultural,0.537,1
SAMPLE_88,P. aeruginosa,Ciprofloxacin,0,20.47,Moderate,Agricultural,0.782,1
SAMPLE_89,S. aureus,Amoxicillin,0,41.05,High,Community,0.663,0
SAMPLE_90,S. aureus,Tetracycline,0,63.88,Moderate,Community,0.053,0
SAMPLE_91,K. pneumoniae,Tetracycline,0,52.37,High,Community,0.991,1
SAMPLE_92,S. enterica,Ciprofloxacin,0,44.74,High,Hospital,0.136,1
SAMPLE_93,S. aureus,Erythromycin,0,4.47,Low,Agricultural,0.304,0
SAMPLE_94,S. aureus,Vancomycin,0,40.08,Low,Agricultural,0.306,0
SAMPLE_95,S. aureus,Tetracycline,1,50.99,Moderate,Agricultural,0.233,0
SAMPLE_96,E. coli,Amoxicillin,0,1.52,Moderate,Community,0.25,1
SAMPLE_97,E. coli,Amoxicillin,1,42.9,Low,Community,0.253,1
SAMPLE_98,S. aureus,Amoxicillin,0,15.29,Low,Agricultural,0.545,1
SAMPLE_99,S. enterica,Ciprofloxacin,1,54.52,Low,Community,0.684,1
SAMPLE_100,S. aureus,Ciprofloxacin,0,44.6,Low,Agricultural,0.217,0
SAMPLE_101,S. aureus,Ciprofloxacin,0,6.59,High,Agricultural,0.471,1
SAMPLE_102,S. enterica,Vancomycin,0,7.69,Low,Hospital,0.891,1
SAMPLE_103,E. coli,Amoxicillin,0,44.28,Low,Community,0.66,1
SAMPLE_104,S. aureus,Erythromycin,0,8.97,Low,Agricultural,0.639,0
SAMPLE_105,S. enterica,Ciprofloxacin,0,34.08,High,Agricultural,0.669,1
SAMPLE_106,E. coli,Erythromycin,1,61.78,High,Community,0.098,0
SAMPLE_107,P. aeruginosa,Erythromycin,1,25.61,High,Hospital,0.571,1
SAMPLE_108,S. aureus,Ciprofloxacin,0,56.43,Moderate,Community,0.546,1
SAMPLE_109,K. pneumoniae,Vancomycin,1,24.42,Moderate,Community,0.699,0
SAMPLE_110,P. aeruginosa,Ciprofloxacin,0,61.35,High,Community,0.457,0
SAMPLE_111,S. aureus,Ciprofloxacin,1,28.61,Low,Agricultural,0.712,0
SAMPLE_112,S. enterica,Amoxicillin,0,10.48,High,Community,0.5,0
SAMPLE_113,S. enterica,Amoxicillin,1,55.98,Moderate,Agricultural,0.26,1
SAMPLE_114,S. enterica,Erythromycin,0,63.18,Moderate,Hospital,0.315,1
SAMPLE_115,E. coli,Amoxicillin,1,14.12,Moderate,Hospital,0.172,1
SAMPLE_116,S. aureus,Tetracycline,1,24.49,Moderate,Hospital,0.89,0
SAMPLE_117,P. aeruginosa,Amoxicillin,1,19.18,Low,Hospital,0.939,1
SAMPLE_118,K. pneumoniae,Ciprofloxacin,1,56.55,Moderate,Hospital,0.573,0
SAMPLE_119,P. aeruginosa,Tetracycline,1,43.37,Moderate,Community,0.504,0
SAMPLE_120,S. aureus,Amoxicillin,1,60.27,High,Agricultural,0.418,0
SAMPLE_121,P. aeruginosa,Vancomycin,0,52.43,High,Hospital,0.156,0
SAMPLE_122,P. aeruginosa,Tetracycline,0,34.98,High,Agricultural,0.374,1
SAMPLE_123,E. coli,Vancomycin,1,59.12,Low,Hospital,0.128,0
SAMPLE_124,S. enterica,Ciprofloxacin,1,45.11,High,Community,0.967,0
SAMPLE_125,P. aeruginosa,Amoxicillin,1,41.18,High,Agricultural,0.873,1
SAMPLE_126,S. aureus,Vancomycin,1,5.77,Moderate,Agricultural,0.772,0
SAMPLE_127,E. coli,Erythromycin,0,4.55,Moderate,Agricultural,0.209,1
SAMPLE_128,S. enterica,Erythromycin,0,20.07,Low,Hospital,0.79,1
SAMPLE_129,S. enterica,Amoxicillin,0,32.4,Moderate,Community,0.344,1
SAMPLE_130,K. pneumoniae,Amoxicillin,0,50.49,Low,Community,0.44,1
SAMPLE_131,E. coli,Tetracycline,0,20.89,Low,Agricultural,0.495,1
SAMPLE_132,P. aeruginosa,Tetracycline,1,0.69,Low,Community,0.048,1
SAMPLE_133,S. enterica,Ciprofloxacin,1,37.77,High,Agricultural,0.232,0
SAMPLE_134,S. aureus,Amoxicillin,1,5.2,High,Hospital,0.169,0
SAMPLE_135,E. coli,Amoxicillin,0,10.37,High,Agricultural,0.268,1
SAMPLE_136,P. aeruginosa,Erythromycin,0,56.45,High,Agricultural,0.871,0
SAMPLE_137,S. aureus,Amoxicillin,0,56.64,High,Hospital,0.189,0
SAMPLE_138,E. coli,Vancomycin,0,45.69,High,Agricultural,0.438,0
SAMPLE_139,E. coli,Ciprofloxacin,0,13.23,High,Hospital,0.072,0
SAMPLE_140,P. aeruginosa,Amoxicillin,0,7.78,Low,Hospital,0.603,0
SAMPLE_141,S. aureus,Ciprofloxacin,0,35.5,Low,Hospital,0.624,0
SAMPLE_142,K. pneumoniae,Vancomycin,1,10.23,High,Hospital,0.816,0
SAMPLE_143,P. aeruginosa,Erythromycin,1,22.75,Low,Agricultural,0.25,1
SAMPLE_144,S. enterica,Ciprofloxacin,0,47.75,High,Community,0.15,0
SAMPLE_145,S. aureus,Ciprofloxacin,0,50.78,Low,Community,0.69,0
SAMPLE_146,S. enterica,Ciprofloxacin,1,9.26,Moderate,Agricultural,0.67,1
SAMPLE_147,E. coli,Erythromycin,1,33.16,Moderate,Agricultural,0.879,0
SAMPLE_148,P. aeruginosa,Erythromycin,0,20.12,Moderate,Community,0.188,0
SAMPLE_149,S. enterica,Ciprofloxacin,1,38.8,Low,Agricultural,0.745,0
SAMPLE_150,E. coli,Ciprofloxacin,1,57.2,Low,Community,0.213,0
SAMPLE_151,K. pneumoniae,Vancomycin,1,13.23,Low,Hospital,0.78,0
SAMPLE_152,P. aeruginosa,Amoxicillin,0,58.75,Moderate,Community,0.485,1
SAMPLE_153,S. enterica,Erythromycin,1,34.71,Low,Agricultural,0.707,0
SAMPLE_154,E. coli,Ciprofloxacin,0,5.74,High,Hospital,0.447,1
SAMPLE_155,S. aureus,Tetracycline,0,43.51,Low,Community,0.215,0
SAMPLE_156,P. aeruginosa,Vancomycin,1,43.68,High,Hospital,0.135,1
SAMPLE_157,K. pneumoniae,Erythromycin,1,22.26,Moderate,Agricultural,0.178,0
SAMPLE_158,P. aeruginosa,Vancomycin,1,55.93,Moderate,Community,0.224,1
SAMPLE_159,P. aeruginosa,Amoxicillin,0,2.42,Moderate,Agricultural,0.78,0
SAMPLE_160,S. aureus,Amoxicillin,1,7.71,Moderate,Hospital,0.533,0
SAMPLE_161,S. aureus,Erythromycin,1,20.36,Moderate,Hospital,0.993,0
SAMPLE_162,S. aureus,Amoxicillin,0,29.63,Low,Community,0.918,0
SAMPLE_163,K. pneumoniae,Erythromycin,1,17.94,Low,Hospital,0.336,0
SAMPLE_164,K. pneumoniae,Amoxicillin,1,26.51,Moderate,Community,0.197,1
SAMPLE_165,E. coli,Erythromycin,0,53.26,Low,Agricultural,0.473,1
SAMPLE_166,S. enterica,Vancomycin,1,48.83,Moderate,Hospital,0.314,1
SAMPLE_167,S. enterica,Erythromycin,1,45.6,High,Hospital,0.961,0
SAMPLE_168,K. pneumoniae,Ciprofloxacin,0,20.62,Moderate,Community,0.634,0
SAMPLE_169,E. coli,Tetracycline,1,24.1,Low,Hospital,0.888,0
SAMPLE_170,S. aureus,Amoxicillin,0,62.56,Moderate,Agricultural,0.581,0
SAMPLE_171,S. enterica,Tetracycline,1,61.85,Moderate,Hospital,0.439,1
SAMPLE_172,E. coli,Erythromycin,1,60.11,Low,Agricultural,0.974,1
SAMPLE_173,S. aureus,Tetracycline,0,51.0,Moderate,Hospital,0.134,1
SAMPLE_174,S. aureus,Amoxicillin,1,43.08,Low,Agricultural,0.538,1
SAMPLE_175,P. aeruginosa,Tetracycline,0,46.1,High,Agricultural,0.303,1
SAMPLE_176,K. pneumoniae,Ciprofloxacin,0,43.15,Moderate,Hospital,0.621,0
SAMPLE_177,S. aureus,Vancomycin,1,28.78,Moderate,Hospital,0.716,0
SAMPLE_178,S. aureus,Ciprofloxacin,1,46.5,Low,Agricultural,0.955,1
SAMPLE_179,E. coli,Tetracycline,1,18.57,High,Hospital,0.031,0
SAMPLE_180,E. coli,Tetracycline,0,52.04,High,Agricultural,0.82,0
SAMPLE_181,K. pneumoniae,Amoxicillin,0,51.87,Moderate,Hospital,0.932,0
SAMPLE_182,S. enterica,Ciprofloxacin,0,9.79,High,Agricultural,0.546,0
SAMPLE_183,E. coli,Ciprofloxacin,1,0.31,Low,Community,0.556,0
SAMPLE_184,P. aeruginosa,Ciprofloxacin,0,53.93,Low,Community,0.887,1
SAMPLE_185,P. aeruginosa,Ciprofloxacin,1,50.09,Moderate,Community,0.038,1
SAMPLE_186,P. aeruginosa,Tetracycline,0,60.93,Low,Hospital,0.347,0
SAMPLE_187,S. enterica,Tetracycline,1,33.95,Low,Community,0.777,0
SAMPLE_188,S. aureus,Erythromycin,1,58.04,Low,Community,0.916,1
SAMPLE_189,E. coli,Vancomycin,0,61.43,High,Hospital,0.997,1
SAMPLE_190,E. coli,Vancomycin,1,49.42,High,Community,0.053,0
SAMPLE_191,E. coli,Amoxicillin,1,39.12,High,Agricultural,0.398,1
SAMPLE_192,E. coli,Tetracycline,0,32.17,High,Community,0.097,1
SAMPLE_193,S. aureus,Erythromycin,1,16.81,Low,Community,0.29,1
SAMPLE_194,S. enterica,Amoxicillin,0,3.03,Moderate,Agricultural,0.68,1
SAMPLE_195,S. aureus,Ciprofloxacin,0,43.24,Moderate,Community,0.722,0
SAMPLE_196,E. coli,Tetracycline,1,7.98,Low,Hospital,0.307,1
SAMPLE_197,S. enterica,Amoxicillin,0,37.01,Moderate,Hospital,0.351,1
SAMPLE_198,E. coli,Amoxicillin,0,36.0,High,Community,0.052,0
SAMPLE_199,E. coli,Tetracycline,0,26.09,Low,Agricultural,0.458,0
SAMPLE_200,E. coli,Amoxicillin,0,10.42,Low,Hospital,0.059,1
SAMPLE_201,P. aeruginosa,Ciprofloxacin,0,41.88,Low,Hospital,0.393,1
SAMPLE_202,E. coli,Erythromycin,0,46.28,High,Community,0.107,1
SAMPLE_203,E. coli,Ciprofloxacin,0,27.11,Moderate,Hospital,0.09,0
SAMPLE_204,K. pneumoniae,Vancomycin,0,4.32,Low,Community,0.638,1
SAMPLE_205,E. coli,Ciprofloxacin,1,41.77,High,Community,0.261,0
SAMPLE_206,S. aureus,Ciprofloxacin,0,30.34,Moderate,Community,0.393,0
SAMPLE_207,S. aureus,Tetracycline,1,5.75,Moderate,Community,0.189,1
SAMPLE_208,K. pneumoniae,Ciprofloxacin,1,46.92,Moderate,Community,0.805,1
SAMPLE_209,K. pneumoniae,Erythromycin,0,50.85,High,Agricultural,0.939,0
SAMPLE_210,E. coli,Amoxicillin,0,31.24,High,Agricultural,0.773,0
SAMPLE_211,E. coli,Amoxicillin,0,59.68,Moderate,Agricultural,0.291,0
SAMPLE_212,E. coli,Vancomycin,0,15.48,Low,Community,0.676,0
SAMPLE_213,P. aeruginosa,Erythromycin,1,33.58,High,Hospital,0.391,0
SAMPLE_214,E. coli,Amoxicillin,1,48.03,Low,Community,0.101,1
SAMPLE_215,S. aureus,Ciprofloxacin,1,48.7,High,Agricultural,0.366,1
SAMPLE_216,K. pneumoniae,Amoxicillin,0,1.31,Moderate,Agricultural,0.091,0
SAMPLE_217,P. aeruginosa,Amoxicillin,1,13.46,Low,Community,0.353,1
SAMPLE_218,S. aureus,Vancomycin,0,63.87,Moderate,Hospital,0.157,1
SAMPLE_219,S. enterica,Tetracycline,1,60.63,Low,Agricultural,0.377,0
SAMPLE_220,P. aeruginosa,Amoxicillin,1,5.34,Moderate,Agricultural,0.452,1
SAMPLE_221,P. aeruginosa,Erythromycin,1,3.04,Moderate,Community,0.375,0
SAMPLE_222,P. aeruginosa,Amoxicillin,1,12.57,High,Agricultural,0.522,1
SAMPLE_223,P. aeruginosa,Vancomycin,1,8.89,High,Hospital,0.888,1
SAMPLE_224,E. coli,Tetracycline,0,23.63,High,Hospital,0.118,0
SAMPLE_225,P. aeruginosa,Ciprofloxacin,1,58.63,High,Community,0.348,1
SAMPLE_226,S. enterica,Ciprofloxacin,0,38.67,Moderate,Agricultural,0.778,0
SAMPLE_227,S. aureus,Erythromycin,1,18.71,Moderate,Agricultural,0.243,1
SAMPLE_228,E. coli,Ciprofloxacin,0,58.34,Low,Hospital,0.317,0
SAMPLE_229,E. coli,Tetracycline,0,4.61,Moderate,Community,0.159,0
SAMPLE_230,P. aeruginosa,Amoxicillin,0,17.51,Moderate,Hospital,0.508,0
SAMPLE_231,K. pneumoniae,Amoxicillin,0,2.29,Moderate,Hospital,0.59,1
SAMPLE_232,E. coli,Ciprofloxacin,0,21.52,High,Agricultural,0.676,1
SAMPLE_233,E. coli,Erythromycin,0,18.33,Moderate,Community,0.651,1
SAMPLE_234,E. coli,Tetracycline,0,61.82,Low,Agricultural,0.013,0
SAMPLE_235,S. enterica,Ciprofloxacin,0,26.18,Moderate,Community,0.064,1
SAMPLE_236,S. enterica,Ciprofloxacin,1,4.79,Moderate,Agricultural,0.424,0
SAMPLE_237,S. aureus,Amoxicillin,0,4.98,High,Agricultural,0.87,1
SAMPLE_238,K. pneumoniae,Ciprofloxacin,1,22.49,High,Agricultural,0.133,1
SAMPLE_239,K. pneumoniae,Tetracycline,1,31.45,Low,Agricultural,0.806,0
SAMPLE_240,E. coli,Vancomycin,0,51.07,Low,Hospital,0.72,1
SAMPLE_241,S. enterica,Vancomycin,1,9.31,Low,Hospital,0.183,1
SAMPLE_242,E. coli,Erythromycin,1,7.77,Moderate,Agricultural,0.336,1
SAMPLE_243,S. enterica,Tetracycline,1,11.51,Moderate,Community,0.679,1
SAMPLE_244,S. enterica,Tetracycline,1,42.02,High,Community,0.321,0
SAMPLE_245,E. coli,Erythromycin,0,5.76,Moderate,Hospital,0.441,0
SAMPLE_246,P. aeruginosa,Ciprofloxacin,0,33.56,Moderate,Hospital,0.178,1
SAMPLE_247,K. pneumoniae,Erythromycin,1,26.5,High,Community,0.92,0
SAMPLE_248,S. enterica,Tetracycline,0,32.84,Moderate,Agricultural,0.725,1
SAMPLE_249,P. aeruginosa,Amoxicillin,0,11.05,Moderate,Agricultural,0.324,0
SAMPLE_250,S. aureus,Ciprofloxacin,0,26.81,High,Hospital,0.637,0
